draws1,draws2,draws3,max,ismax1,ismax2,ismax3
218.9755412839679,61.862731137737335,80.22828495023903,218.9755412839679,1,0,0
310.7023931647634,70.85155608528956,94.53105627946702,310.7023931647634,1,0,0
258.70322105762494,66.0260045343217,86.81710166015573,258.70322105762494,1,0,0
242.86883318876676,64.38265287167349,84.21422517971489,242.86883318876676,1,0,0
188.16430421995705,58.7493056769419,75.28609137941103,188.16430421995705,1,0,0
188.1594804056089,58.7488416691004,75.28535176597373,188.1594804056089,1,0,0
158.8464072890315,56.100002393994764,71.04115007289636,158.8464072890315,1,0,0
281.3670753936879,68.25712804510452,90.36649055592885,281.3670753936879,1,0,0
243.13675008528224,64.41081484233388,84.25878333009052,243.13675008528224,1,0,0
255.5948226190809,65.70757781960666,86.3122027451212,255.5948226190809,1,0,0
128.55673783206316,53.72704664136384,67.19264214400411,128.55673783206316,1,0,0
325.03223559484263,71.99162217351336,96.37769640873977,325.03223559484263,1,0,0
274.39574915827905,67.58985619565814,89.30244211809476,274.39574915827905,1,0,0
198.07582840510184,59.720323996329654,76.83148574260431,198.07582840510184,1,0,0
193.00661312974628,59.219393786560644,76.0348189687079,193.00661312974628,1,0,0
193.28458319347948,59.246634330260704,76.07817188147575,193.28458319347948,1,0,0
210.7461427897848,61.00671389393209,78.87270713986902,210.7461427897848,1,0,0
234.99474434072812,63.552126487121384,82.90053266871806,234.99474434072812,1,0,0
225.22858216565785,62.520129230587706,81.26841186166943,225.22858216565785,1,0,0
209.11667706482777,60.83887830480012,78.60670690122588,209.11667706482777,1,0,0
244.31457558785908,64.53451716003062,84.45452007474154,244.31457558785908,1,0,0
184.70194759505645,58.418517884202544,74.75852551101876,184.70194759505645,1,0,0
209.2326831810556,60.85080621359231,78.62561401290809,209.2326831810556,1,0,0
218.0575928005084,61.76664880326878,80.07620905879067,218.0575928005084,1,0,0
227.78756183024265,62.79021972408701,81.69560630340561,227.78756183024265,1,0,0
266.33622103044803,66.79654295629739,88.04036514448754,266.33622103044803,1,0,0
196.04414499399178,59.51851628171222,76.51067425984981,196.04414499399178,1,0,0
233.89111112594253,63.435449311795516,82.7160130606639,233.89111112594253,1,0,0
242.19023934271186,64.3112858547384,84.1013124284585,242.19023934271186,1,0,0
152.38428943512497,55.56338077780595,70.17510859644617,152.38428943512497,1,0,0
243.84067374941952,64.48476614856907,84.37579525466957,243.84067374941952,1,0,0
190.95968297218826,59.01964217606855,75.71680519922369,190.95968297218826,1,0,0
162.12610548589598,56.378899368342985,71.4903486429454,162.12610548589598,1,0,0
309.6491011903618,70.7645166999184,94.39052643429153,309.6491011903618,1,0,0
321.15305013191494,71.69098515397685,95.88963410303873,321.15305013191494,1,0,0
270.102154241874,67.17000783574498,88.63413841648122,270.102154241874,1,0,0
210.79207210363526,61.01145355599143,78.88021778461821,210.79207210363526,1,0,0
173.9955283768707,57.425358611617085,73.17063934536594,173.9955283768707,1,0,0
252.64336348810718,65.4030716471059,85.829661926826,252.64336348810718,1,0,0
226.10237208615797,62.612304472087736,81.41420937476454,226.10237208615797,1,0,0
180.63763159245872,58.03612292825505,74.14786786804014,180.63763159245872,1,0,0
231.89488345898604,63.22436438981115,82.38219741263794,231.89488345898604,1,0,0
